Hour,Feature,Group,Mean,Std
86,MeasuredPleuralPressure,NotRemoved,1.13,0.605
86,MeasuredPleuralPressure,Removed,1.438,0.549
87,AirLeakFlow,NotRemoved,16.402,27.385
87,AirLeakFlow,Removed,217.651,1066.698
87,LOWESSFluidOutput,NotRemoved,0.0,0.0
87,LOWESSFluidOutput,Removed,10.764,21.729
87,MeasuredPleuralPressure,NotRemoved,1.101,0.554
87,MeasuredPleuralPressure,Removed,1.414,0.524
88,AirLeakFlow,NotRemoved,14.191,26.966
88,AirLeakFlow,Removed,73.714,631.818
88,LOWESSFluidOutput,NotRemoved,0.0,0.0
88,LOWESSFluidOutput,Removed,9.773,21.116
88,MeasuredPleuralPressure,NotRemoved,1.084,0.565
88,MeasuredPleuralPressure,Removed,1.431,0.494
89,AirLeakFlow,NotRemoved,5.315,18.546
89,AirLeakFlow,Removed,120.618,761.99
89,LOWESSFluidOutput,NotRemoved,0.0,0.0
89,LOWESSFluidOutput,Removed,7.471,17.61
89,MeasuredPleuralPressure,NotRemoved,1.193,0.474
89,MeasuredPleuralPressure,Removed,1.422,0.509
90,AirLeakFlow,NotRemoved,1.471,0.937
90,AirLeakFlow,Removed,163.719,953.27
90,LOWESSFluidOutput,NotRemoved,0.0,0.0
90,LOWESSFluidOutput,Removed,8.333,16.654
90,MeasuredPleuralPressure,NotRemoved,1.138,0.484
90,MeasuredPleuralPressure,Removed,1.414,0.559
91,AirLeakFlow,NotRemoved,1.292,0.939
91,AirLeakFlow,Removed,156.678,954.055
91,LOWESSFluidOutput,NotRemoved,0.0,0.0
91,LOWESSFluidOutput,Removed,9.292,18.377
91,MeasuredPleuralPressure,NotRemoved,1.111,0.471
91,MeasuredPleuralPressure,Removed,1.419,0.546
92,AirLeakFlow,NotRemoved,2.353,1.754
92,AirLeakFlow,Removed,7.46,24.929
92,LOWESSFluidOutput,NotRemoved,0.0,0.0
92,LOWESSFluidOutput,Removed,10.234,19.998
92,MeasuredPleuralPressure,NotRemoved,1.149,0.552
92,MeasuredPleuralPressure,Removed,1.52,0.559
93,AirLeakFlow,NotRemoved,2.458,1.574
93,AirLeakFlow,Removed,13.558,43.235
93,LOWESSFluidOutput,NotRemoved,0.0,0.0
93,LOWESSFluidOutput,Removed,10.196,20.722
93,MeasuredPleuralPressure,NotRemoved,1.185,0.537
93,MeasuredPleuralPressure,Removed,1.464,0.538
94,AirLeakFlow,NotRemoved,257.624,1223.156
94,AirLeakFlow,Removed,86.069,706.786
94,LOWESSFluidOutput,NotRemoved,0.0,0.0
94,LOWESSFluidOutput,Removed,8.655,19.997
94,MeasuredPleuralPressure,NotRemoved,1.243,0.484
94,MeasuredPleuralPressure,Removed,1.47,0.52
95,AirLeakFlow,NotRemoved,15.302,14.757
95,AirLeakFlow,Removed,90.455,706.711
95,LOWESSFluidOutput,NotRemoved,0.0,0.0
95,LOWESSFluidOutput,Removed,6.015,15.115
95,MeasuredPleuralPressure,NotRemoved,0.991,0.474
95,MeasuredPleuralPressure,Removed,1.463,0.589
96,AirLeakFlow,NotRemoved,43.065,62.75
96,AirLeakFlow,Removed,181.384,991.012
96,LOWESSFluidOutput,NotRemoved,0.0,0.0
96,LOWESSFluidOutput,Removed,6.128,15.376
96,MeasuredPleuralPressure,NotRemoved,1.104,0.629
96,MeasuredPleuralPressure,Removed,1.481,0.53
97,AirLeakFlow,NotRemoved,25.89,48.988
97,AirLeakFlow,Removed,66.166,455.146
97,LOWESSFluidOutput,NotRemoved,0.0,0.0
97,LOWESSFluidOutput,Removed,5.018,16.165
97,MeasuredPleuralPressure,NotRemoved,1.086,0.609
97,MeasuredPleuralPressure,Removed,1.439,0.533
98,AirLeakFlow,NotRemoved,5.857,10.213
98,AirLeakFlow,Removed,275.473,1210.469
98,LOWESSFluidOutput,NotRemoved,0.0,0.0
98,LOWESSFluidOutput,Removed,4.958,16.561
98,MeasuredPleuralPressure,NotRemoved,1.038,0.584
98,MeasuredPleuralPressure,Removed,1.474,0.497
99,AirLeakFlow,NotRemoved,339.894,1412.636
99,AirLeakFlow,Removed,9.347,22.932
99,LOWESSFluidOutput,NotRemoved,0.0,0.0
99,LOWESSFluidOutput,Removed,5.598,17.862
99,MeasuredPleuralPressure,NotRemoved,0.999,0.63
99,MeasuredPleuralPressure,Removed,1.446,0.484
100,AirLeakFlow,NotRemoved,12.299,11.881
100,AirLeakFlow,Removed,39.698,246.835
100,LOWESSFluidOutput,NotRemoved,0.0,0.0
100,LOWESSFluidOutput,Removed,3.726,11.805
100,MeasuredPleuralPressure,NotRemoved,0.976,0.537
100,MeasuredPleuralPressure,Removed,1.417,0.538
101,AirLeakFlow,NotRemoved,2.782,1.656
101,AirLeakFlow,Removed,94.334,738.136
101,LOWESSFluidOutput,NotRemoved,0.0,0.0
101,LOWESSFluidOutput,Removed,4.085,12.526
101,MeasuredPleuralPressure,NotRemoved,1.011,0.585
101,MeasuredPleuralPressure,Removed,1.423,0.55
102,AirLeakFlow,NotRemoved,2.129,1.614
102,AirLeakFlow,Removed,24.819,176.473
102,LOWESSFluidOutput,NotRemoved,0.0,0.0
102,LOWESSFluidOutput,Removed,4.05,12.934
102,MeasuredPleuralPressure,NotRemoved,1.013,0.544
102,MeasuredPleuralPressure,Removed,1.438,0.56
103,AirLeakFlow,NotRemoved,32.844,54.007
103,AirLeakFlow,Removed,2.004,1.768
103,LOWESSFluidOutput,NotRemoved,0.0,0.0
103,LOWESSFluidOutput,Removed,5.22,16.051
103,MeasuredPleuralPressure,NotRemoved,1.149,0.592
103,MeasuredPleuralPressure,Removed,1.402,0.52
104,AirLeakFlow,NotRemoved,34.65,59.788
104,AirLeakFlow,Removed,2.846,5.29
104,LOWESSFluidOutput,NotRemoved,0.0,0.0
104,LOWESSFluidOutput,Removed,6.53,19.24
104,MeasuredPleuralPressure,NotRemoved,1.029,0.602
104,MeasuredPleuralPressure,Removed,1.398,0.543
105,AirLeakFlow,NotRemoved,344.726,1411.468
105,AirLeakFlow,Removed,12.037,44.036
105,LOWESSFluidOutput,NotRemoved,0.0,0.0
105,LOWESSFluidOutput,Removed,8.455,23.302
105,MeasuredPleuralPressure,NotRemoved,1.059,0.498
105,MeasuredPleuralPressure,Removed,1.4,0.558
106,AirLeakFlow,NotRemoved,351.884,1409.707
106,AirLeakFlow,Removed,24.145,53.863
106,LOWESSFluidOutput,NotRemoved,0.0,0.0
106,LOWESSFluidOutput,Removed,9.162,23.368
106,MeasuredPleuralPressure,NotRemoved,1.114,0.6
106,MeasuredPleuralPressure,Removed,1.393,0.531
107,AirLeakFlow,NotRemoved,16.322,20.065
107,AirLeakFlow,Removed,5.154,14.502
107,LOWESSFluidOutput,NotRemoved,0.0,0.0
107,LOWESSFluidOutput,Removed,9.228,21.665
107,MeasuredPleuralPressure,NotRemoved,1.018,0.56
107,MeasuredPleuralPressure,Removed,1.35,0.54
108,AirLeakFlow,NotRemoved,8.371,8.14
108,AirLeakFlow,Removed,10.435,21.883
108,LOWESSFluidOutput,NotRemoved,0.0,0.0
108,LOWESSFluidOutput,Removed,9.957,24.433
108,MeasuredPleuralPressure,NotRemoved,1.058,0.506
108,MeasuredPleuralPressure,Removed,1.396,0.545
109,AirLeakFlow,NotRemoved,335.852,1413.586
109,AirLeakFlow,Removed,94.926,738.134
109,LOWESSFluidOutput,NotRemoved,0.0,0.0
109,LOWESSFluidOutput,Removed,9.339,25.266
109,MeasuredPleuralPressure,NotRemoved,1.083,0.497
109,MeasuredPleuralPressure,Removed,1.346,0.513
110,AirLeakFlow,NotRemoved,1.147,0.94
110,AirLeakFlow,Removed,94.45,738.142
110,LOWESSFluidOutput,NotRemoved,0.0,0.0
110,LOWESSFluidOutput,Removed,10.47,26.883
110,MeasuredPleuralPressure,NotRemoved,1.077,0.596
110,MeasuredPleuralPressure,Removed,1.368,0.551
111,AirLeakFlow,NotRemoved,1.361,1.59
111,AirLeakFlow,Removed,208.334,1084.771
111,LOWESSFluidOutput,NotRemoved,0.0,0.0
111,LOWESSFluidOutput,Removed,12.717,29.278
111,MeasuredPleuralPressure,NotRemoved,0.989,0.639
111,MeasuredPleuralPressure,Removed,1.417,0.525
112,AirLeakFlow,NotRemoved,11.009,14.737
112,AirLeakFlow,Removed,27.984,66.035
112,LOWESSFluidOutput,NotRemoved,0.0,0.0
112,LOWESSFluidOutput,Removed,12.919,29.749
112,MeasuredPleuralPressure,NotRemoved,1.054,0.631
112,MeasuredPleuralPressure,Removed,1.432,0.502
113,AirLeakFlow,NotRemoved,16.142,17.02
113,AirLeakFlow,Removed,12.648,39.303
113,LOWESSFluidOutput,NotRemoved,0.0,0.0
113,LOWESSFluidOutput,Removed,12.82,29.984
113,MeasuredPleuralPressure,NotRemoved,1.001,0.612
113,MeasuredPleuralPressure,Removed,1.45,0.497
114,AirLeakFlow,NotRemoved,24.535,25.954
114,AirLeakFlow,Removed,5.709,7.655
114,LOWESSFluidOutput,NotRemoved,0.0,0.0
114,LOWESSFluidOutput,Removed,12.002,27.286
114,MeasuredPleuralPressure,NotRemoved,1.002,0.556
114,MeasuredPleuralPressure,Removed,1.459,0.533
115,AirLeakFlow,NotRemoved,7.397,7.832
115,AirLeakFlow,Removed,197.121,936.527
115,LOWESSFluidOutput,NotRemoved,0.0,0.0
115,LOWESSFluidOutput,Removed,12.335,25.041
115,MeasuredPleuralPressure,NotRemoved,0.996,0.532
115,MeasuredPleuralPressure,Removed,1.512,0.4
116,AirLeakFlow,NotRemoved,3.313,3.068
116,AirLeakFlow,Removed,118.854,815.875
116,LOWESSFluidOutput,NotRemoved,0.0,0.0
116,LOWESSFluidOutput,Removed,12.829,25.885
116,MeasuredPleuralPressure,NotRemoved,1.045,0.559
116,MeasuredPleuralPressure,Removed,1.502,0.457
117,AirLeakFlow,NotRemoved,2.116,2.525
117,AirLeakFlow,Removed,13.856,28.959
117,LOWESSFluidOutput,NotRemoved,0.0,0.0
117,LOWESSFluidOutput,Removed,11.48,25.52
117,MeasuredPleuralPressure,NotRemoved,0.967,0.591
117,MeasuredPleuralPressure,Removed,1.529,0.476
118,AirLeakFlow,NotRemoved,1.085,0.856
118,AirLeakFlow,Removed,23.175,47.919
118,LOWESSFluidOutput,NotRemoved,0.0,0.0
118,LOWESSFluidOutput,Removed,9.91,24.039
118,MeasuredPleuralPressure,NotRemoved,0.993,0.6
118,MeasuredPleuralPressure,Removed,1.489,0.49
119,AirLeakFlow,NotRemoved,335.38,1413.704
119,AirLeakFlow,Removed,236.306,1141.312
119,LOWESSFluidOutput,NotRemoved,0.0,0.0
119,LOWESSFluidOutput,Removed,7.573,21.621
119,MeasuredPleuralPressure,NotRemoved,0.995,0.551
119,MeasuredPleuralPressure,Removed,1.478,0.51
120,AirLeakFlow,NotRemoved,40.654,76.925
120,AirLeakFlow,Removed,139.144,826.042
120,LOWESSFluidOutput,NotRemoved,0.0,0.0
120,LOWESSFluidOutput,Removed,5.206,15.795
120,MeasuredPleuralPressure,NotRemoved,1.093,0.553
120,MeasuredPleuralPressure,Removed,1.485,0.515
121,AirLeakFlow,NotRemoved,338.509,1413.036
121,AirLeakFlow,Removed,4.244,7.332
121,LOWESSFluidOutput,NotRemoved,0.0,0.0
121,LOWESSFluidOutput,Removed,4.114,11.746
121,MeasuredPleuralPressure,NotRemoved,1.017,0.547
121,MeasuredPleuralPressure,Removed,1.482,0.459
122,AirLeakFlow,NotRemoved,27.652,58.432
122,AirLeakFlow,Removed,116.953,815.757
122,LOWESSFluidOutput,NotRemoved,0.0,0.0
122,LOWESSFluidOutput,Removed,2.289,7.759
122,MeasuredPleuralPressure,NotRemoved,1.062,0.567
122,MeasuredPleuralPressure,Removed,1.558,0.419
123,AirLeakFlow,NotRemoved,368.382,1406.892
123,AirLeakFlow,Removed,17.77,43.235
123,LOWESSFluidOutput,NotRemoved,0.0,0.0
123,LOWESSFluidOutput,Removed,1.51,4.315
123,MeasuredPleuralPressure,NotRemoved,1.035,0.601
123,MeasuredPleuralPressure,Removed,1.497,0.449
124,AirLeakFlow,NotRemoved,344.005,1412.045
124,AirLeakFlow,Removed,113.172,816.215
124,LOWESSFluidOutput,NotRemoved,0.0,0.0
124,LOWESSFluidOutput,Removed,1.409,4.456
124,MeasuredPleuralPressure,NotRemoved,0.989,0.624
124,MeasuredPleuralPressure,Removed,1.524,0.472
125,AirLeakFlow,NotRemoved,1.271,1.239
125,AirLeakFlow,Removed,113.002,816.236
125,LOWESSFluidOutput,NotRemoved,0.0,0.0
125,LOWESSFluidOutput,Removed,0.193,0.862
125,MeasuredPleuralPressure,NotRemoved,1.086,0.557
125,MeasuredPleuralPressure,Removed,1.514,0.517
126,AirLeakFlow,NotRemoved,334.556,1413.909
126,AirLeakFlow,Removed,10.231,41.456
126,LOWESSFluidOutput,NotRemoved,0.0,0.0
126,LOWESSFluidOutput,Removed,0.0,0.0
126,MeasuredPleuralPressure,NotRemoved,1.033,0.63
126,MeasuredPleuralPressure,Removed,1.526,0.547
127,AirLeakFlow,NotRemoved,1.907,1.359
127,AirLeakFlow,Removed,13.121,35.058
127,LOWESSFluidOutput,NotRemoved,0.0,0.0
127,LOWESSFluidOutput,Removed,0.0,0.0
127,MeasuredPleuralPressure,NotRemoved,1.081,0.637
127,MeasuredPleuralPressure,Removed,1.56,0.517
128,AirLeakFlow,NotRemoved,2.483,1.259
128,AirLeakFlow,Removed,5.523,9.148
128,LOWESSFluidOutput,NotRemoved,0.0,0.0
128,LOWESSFluidOutput,Removed,0.0,0.0
128,MeasuredPleuralPressure,NotRemoved,1.072,0.559
128,MeasuredPleuralPressure,Removed,1.533,0.493
129,AirLeakFlow,NotRemoved,2.748,1.941
129,AirLeakFlow,Removed,132.559,814.945
129,LOWESSFluidOutput,NotRemoved,0.0,0.0
129,LOWESSFluidOutput,Removed,0.0,0.0
129,MeasuredPleuralPressure,NotRemoved,1.194,0.541
129,MeasuredPleuralPressure,Removed,1.533,0.496
130,AirLeakFlow,NotRemoved,2.312,1.815
130,AirLeakFlow,Removed,50.617,82.455
130,LOWESSFluidOutput,NotRemoved,0.0,0.0
130,LOWESSFluidOutput,Removed,0.0,0.0
130,MeasuredPleuralPressure,NotRemoved,1.105,0.597
130,MeasuredPleuralPressure,Removed,1.516,0.493
131,AirLeakFlow,NotRemoved,2.055,1.94
131,AirLeakFlow,Removed,232.38,1141.973
131,LOWESSFluidOutput,NotRemoved,0.0,0.0
131,LOWESSFluidOutput,Removed,0.0,0.0
131,MeasuredPleuralPressure,NotRemoved,1.0,0.605
131,MeasuredPleuralPressure,Removed,1.54,0.524
132,AirLeakFlow,NotRemoved,24.097,42.296
132,AirLeakFlow,Removed,115.77,815.901
132,LOWESSFluidOutput,NotRemoved,0.0,0.0
132,LOWESSFluidOutput,Removed,0.0,0.0
132,MeasuredPleuralPressure,NotRemoved,1.035,0.593
132,MeasuredPleuralPressure,Removed,1.567,0.515
133,AirLeakFlow,NotRemoved,21.158,41.798
133,AirLeakFlow,Removed,4.793,11.177
133,LOWESSFluidOutput,NotRemoved,0.0,0.0
133,LOWESSFluidOutput,Removed,0.0,0.0
133,MeasuredPleuralPressure,NotRemoved,1.041,0.597
133,MeasuredPleuralPressure,Removed,1.509,0.533
134,AirLeakFlow,NotRemoved,1.421,0.959
134,AirLeakFlow,Removed,113.859,816.131
134,LOWESSFluidOutput,NotRemoved,0.0,0.0
134,LOWESSFluidOutput,Removed,0.088,0.484
134,MeasuredPleuralPressure,NotRemoved,1.054,0.619
134,MeasuredPleuralPressure,Removed,1.517,0.545
135,AirLeakFlow,NotRemoved,1.621,1.543
135,AirLeakFlow,Removed,6.311,11.782
135,LOWESSFluidOutput,NotRemoved,0.0,0.0
135,LOWESSFluidOutput,Removed,0.716,2.082
135,MeasuredPleuralPressure,NotRemoved,1.317,0.587
135,MeasuredPleuralPressure,Removed,1.573,0.551
136,AirLeakFlow,NotRemoved,1.771,1.483
136,AirLeakFlow,Removed,11.117,16.377
136,LOWESSFluidOutput,NotRemoved,0.0,0.0
136,LOWESSFluidOutput,Removed,0.842,2.67
136,MeasuredPleuralPressure,NotRemoved,1.156,0.525
136,MeasuredPleuralPressure,Removed,1.551,0.519
137,AirLeakFlow,NotRemoved,1.366,0.973
137,AirLeakFlow,Removed,17.278,34.944
137,LOWESSFluidOutput,NotRemoved,0.0,0.0
137,LOWESSFluidOutput,Removed,0.0,0.0
137,MeasuredPleuralPressure,NotRemoved,1.289,0.552
137,MeasuredPleuralPressure,Removed,1.483,0.52
138,AirLeakFlow,NotRemoved,502.058,1731.403
138,AirLeakFlow,Removed,131.496,815.448
138,LOWESSFluidOutput,NotRemoved,0.0,0.0
138,LOWESSFluidOutput,Removed,0.0,0.001
138,MeasuredPleuralPressure,NotRemoved,1.246,0.731
138,MeasuredPleuralPressure,Removed,1.577,0.586
139,AirLeakFlow,NotRemoved,2.696,1.384
139,AirLeakFlow,Removed,158.442,815.519
139,LOWESSFluidOutput,NotRemoved,0.0,0.0
139,LOWESSFluidOutput,Removed,0.0,0.0
139,MeasuredPleuralPressure,NotRemoved,1.192,0.542
139,MeasuredPleuralPressure,Removed,1.546,0.503
140,AirLeakFlow,NotRemoved,4.365,4.022
140,AirLeakFlow,Removed,12.248,37.744
140,LOWESSFluidOutput,NotRemoved,0.0,0.0
140,LOWESSFluidOutput,Removed,0.0,0.0
140,MeasuredPleuralPressure,NotRemoved,1.24,0.462
140,MeasuredPleuralPressure,Removed,1.553,0.542
141,AirLeakFlow,NotRemoved,3.633,3.532
141,AirLeakFlow,Removed,113.229,816.204
141,LOWESSFluidOutput,NotRemoved,0.0,0.0
141,LOWESSFluidOutput,Removed,0.0,0.0
141,MeasuredPleuralPressure,NotRemoved,1.231,0.628
141,MeasuredPleuralPressure,Removed,1.549,0.588
142,AirLeakFlow,NotRemoved,501.628,1731.538
142,AirLeakFlow,Removed,13.783,72.742
142,LOWESSFluidOutput,NotRemoved,0.0,0.0
142,LOWESSFluidOutput,Removed,0.0,0.0
142,MeasuredPleuralPressure,NotRemoved,1.217,0.57
142,MeasuredPleuralPressure,Removed,1.552,0.551
143,AirLeakFlow,NotRemoved,1.119,0.563
143,AirLeakFlow,Removed,114.104,816.096
143,LOWESSFluidOutput,NotRemoved,0.0,0.0
143,LOWESSFluidOutput,Removed,0.0,0.0
143,MeasuredPleuralPressure,NotRemoved,1.176,0.536
143,MeasuredPleuralPressure,Removed,1.582,0.528
144,AirLeakFlow,NotRemoved,1.336,0.708
144,AirLeakFlow,Removed,120.569,802.233
144,LOWESSFluidOutput,NotRemoved,0.0,0.0
144,LOWESSFluidOutput,Removed,0.0,0.0
144,MeasuredPleuralPressure,NotRemoved,1.214,0.526
144,MeasuredPleuralPressure,Removed,1.534,0.544
145,AirLeakFlow,NotRemoved,1.124,0.711
145,AirLeakFlow,Removed,17.005,27.741
145,LOWESSFluidOutput,NotRemoved,0.0,0.0
145,LOWESSFluidOutput,Removed,0.0,0.0
145,MeasuredPleuralPressure,NotRemoved,1.202,0.509
145,MeasuredPleuralPressure,Removed,1.564,0.557
146,AirLeakFlow,NotRemoved,0.966,0.858
146,AirLeakFlow,Removed,19.641,109.808
146,LOWESSFluidOutput,NotRemoved,0.0,0.0
146,LOWESSFluidOutput,Removed,0.0,0.0
146,MeasuredPleuralPressure,NotRemoved,1.211,0.534
146,MeasuredPleuralPressure,Removed,1.561,0.523
147,AirLeakFlow,NotRemoved,1.482,0.974
147,AirLeakFlow,Removed,115.257,815.954
147,LOWESSFluidOutput,NotRemoved,0.0,0.0
147,LOWESSFluidOutput,Removed,0.0,0.0
147,MeasuredPleuralPressure,NotRemoved,1.244,0.617
147,MeasuredPleuralPressure,Removed,1.552,0.535
148,AirLeakFlow,NotRemoved,79.529,99.954
148,AirLeakFlow,Removed,2.167,2.307
148,LOWESSFluidOutput,NotRemoved,0.0,0.0
148,LOWESSFluidOutput,Removed,0.0,0.0
148,MeasuredPleuralPressure,NotRemoved,1.229,0.529
148,MeasuredPleuralPressure,Removed,1.57,0.545
149,AirLeakFlow,NotRemoved,68.332,74.981
149,AirLeakFlow,Removed,6.796,15.194
149,LOWESSFluidOutput,NotRemoved,0.0,0.0
149,LOWESSFluidOutput,Removed,0.0,0.0
149,MeasuredPleuralPressure,NotRemoved,1.185,0.537
149,MeasuredPleuralPressure,Removed,1.519,0.573
150,AirLeakFlow,NotRemoved,505.004,1730.511
150,AirLeakFlow,Removed,125.899,671.696
150,LOWESSFluidOutput,NotRemoved,0.0,0.0
150,LOWESSFluidOutput,Removed,0.0,0.0
150,MeasuredPleuralPressure,NotRemoved,1.227,0.505
150,MeasuredPleuralPressure,Removed,1.52,0.548
151,AirLeakFlow,NotRemoved,2.25,1.4
151,AirLeakFlow,Removed,9.091,12.817
151,LOWESSFluidOutput,NotRemoved,0.0,0.0
151,LOWESSFluidOutput,Removed,0.0,0.0
151,MeasuredPleuralPressure,NotRemoved,1.251,0.463
151,MeasuredPleuralPressure,Removed,1.594,0.585
152,AirLeakFlow,NotRemoved,9.117,10.08
152,AirLeakFlow,Removed,14.891,24.372
152,LOWESSFluidOutput,NotRemoved,0.0,0.0
152,LOWESSFluidOutput,Removed,0.0,0.0
152,MeasuredPleuralPressure,NotRemoved,1.29,0.423
152,MeasuredPleuralPressure,Removed,1.563,0.579
153,AirLeakFlow,NotRemoved,4.248,4.037
153,AirLeakFlow,Removed,129.231,814.531
153,LOWESSFluidOutput,NotRemoved,0.0,0.0
153,LOWESSFluidOutput,Removed,0.0,0.0
153,MeasuredPleuralPressure,NotRemoved,1.199,0.57
153,MeasuredPleuralPressure,Removed,1.562,0.59
154,AirLeakFlow,NotRemoved,2.461,1.092
154,AirLeakFlow,Removed,9.191,15.422
154,LOWESSFluidOutput,NotRemoved,0.0,0.0
154,LOWESSFluidOutput,Removed,0.0,0.0
154,MeasuredPleuralPressure,NotRemoved,1.246,0.556
154,MeasuredPleuralPressure,Removed,1.543,0.646
155,AirLeakFlow,NotRemoved,500.755,1731.813
155,AirLeakFlow,Removed,7.542,14.576
155,LOWESSFluidOutput,NotRemoved,0.0,0.0
155,LOWESSFluidOutput,Removed,0.0,0.0
155,MeasuredPleuralPressure,NotRemoved,1.149,0.618
155,MeasuredPleuralPressure,Removed,1.554,0.614
156,AirLeakFlow,NotRemoved,0.907,0.757
156,AirLeakFlow,Removed,77.706,506.853
156,LOWESSFluidOutput,NotRemoved,0.0,0.0
156,LOWESSFluidOutput,Removed,0.0,0.0
156,MeasuredPleuralPressure,NotRemoved,1.132,0.554
156,MeasuredPleuralPressure,Removed,1.543,0.613
157,AirLeakFlow,NotRemoved,1.337,1.446
157,AirLeakFlow,Removed,3.501,8.613
157,LOWESSFluidOutput,NotRemoved,0.0,0.0
157,LOWESSFluidOutput,Removed,0.0,0.0
157,MeasuredPleuralPressure,NotRemoved,1.171,0.589
157,MeasuredPleuralPressure,Removed,1.537,0.614
158,AirLeakFlow,NotRemoved,0.949,0.975
158,AirLeakFlow,Removed,1.358,1.168
158,LOWESSFluidOutput,NotRemoved,0.0,0.0
158,LOWESSFluidOutput,Removed,0.0,0.0
158,MeasuredPleuralPressure,NotRemoved,1.136,0.402
158,MeasuredPleuralPressure,Removed,1.553,0.633
159,AirLeakFlow,NotRemoved,1.864,0.919
159,AirLeakFlow,Removed,20.929,46.942
159,LOWESSFluidOutput,NotRemoved,0.0,0.0
159,LOWESSFluidOutput,Removed,0.0,0.0
159,MeasuredPleuralPressure,NotRemoved,1.163,0.519
159,MeasuredPleuralPressure,Removed,1.584,0.586
160,AirLeakFlow,NotRemoved,2.151,1.07
160,AirLeakFlow,Removed,27.872,68.725
160,LOWESSFluidOutput,NotRemoved,0.0,0.0
160,LOWESSFluidOutput,Removed,0.0,0.0
160,MeasuredPleuralPressure,NotRemoved,1.28,0.575
160,MeasuredPleuralPressure,Removed,1.597,0.597
161,AirLeakFlow,NotRemoved,1.239,0.685
161,AirLeakFlow,Removed,5.788,11.317
161,LOWESSFluidOutput,NotRemoved,0.0,0.0
161,LOWESSFluidOutput,Removed,0.0,0.0
161,MeasuredPleuralPressure,NotRemoved,1.226,0.47
161,MeasuredPleuralPressure,Removed,1.567,0.607
162,AirLeakFlow,NotRemoved,293.989,1013.891
162,AirLeakFlow,Removed,7.494,12.747
162,LOWESSFluidOutput,NotRemoved,0.0,0.0
162,LOWESSFluidOutput,Removed,0.0,0.0
162,MeasuredPleuralPressure,NotRemoved,1.218,0.471
162,MeasuredPleuralPressure,Removed,1.583,0.62
163,AirLeakFlow,NotRemoved,6.202,12.589
163,AirLeakFlow,Removed,7.684,10.663
163,LOWESSFluidOutput,NotRemoved,0.0,0.0
163,LOWESSFluidOutput,Removed,0.0,0.0
163,MeasuredPleuralPressure,NotRemoved,1.078,0.463
163,MeasuredPleuralPressure,Removed,1.572,0.633
164,AirLeakFlow,NotRemoved,12.693,16.698
164,AirLeakFlow,Removed,67.853,452.416
164,LOWESSFluidOutput,NotRemoved,0.0,0.0
164,LOWESSFluidOutput,Removed,0.0,0.0
164,MeasuredPleuralPressure,NotRemoved,1.099,0.471
164,MeasuredPleuralPressure,Removed,1.591,0.618
165,AirLeakFlow,NotRemoved,507.875,1729.613
165,AirLeakFlow,Removed,7.604,12.611
165,LOWESSFluidOutput,NotRemoved,0.0,0.0
165,LOWESSFluidOutput,Removed,0.0,0.0
165,MeasuredPleuralPressure,NotRemoved,1.101,0.386
165,MeasuredPleuralPressure,Removed,1.547,0.637
166,AirLeakFlow,NotRemoved,506.777,1729.989
166,AirLeakFlow,Removed,5.87,9.45
166,LOWESSFluidOutput,NotRemoved,0.0,0.0
166,LOWESSFluidOutput,Removed,0.0,0.0
166,MeasuredPleuralPressure,NotRemoved,1.152,0.5
166,MeasuredPleuralPressure,Removed,1.573,0.584
167,AirLeakFlow,NotRemoved,538.354,1720.649
167,AirLeakFlow,Removed,10.281,16.275
167,LOWESSFluidOutput,NotRemoved,0.0,0.0
167,LOWESSFluidOutput,Removed,0.0,0.0
167,MeasuredPleuralPressure,NotRemoved,1.118,0.645
167,MeasuredPleuralPressure,Removed,1.543,0.613
168,AirLeakFlow,NotRemoved,6.778,19.814
168,AirLeakFlow,Removed,21.86,124.174
168,LOWESSFluidOutput,NotRemoved,0.0,0.0
168,LOWESSFluidOutput,Removed,0.0,0.0
168,MeasuredPleuralPressure,NotRemoved,1.093,0.524
168,MeasuredPleuralPressure,Removed,1.571,0.641
169,AirLeakFlow,NotRemoved,8.155,14.171
169,AirLeakFlow,Removed,5.532,18.879
169,LOWESSFluidOutput,NotRemoved,0.0,0.0
169,LOWESSFluidOutput,Removed,0.0,0.0
169,MeasuredPleuralPressure,NotRemoved,1.143,0.461
169,MeasuredPleuralPressure,Removed,1.63,0.639
170,AirLeakFlow,NotRemoved,525.492,1724.084
170,AirLeakFlow,Removed,286.856,1198.774
170,LOWESSFluidOutput,NotRemoved,0.0,0.0
170,LOWESSFluidOutput,Removed,0.0,0.0
170,MeasuredPleuralPressure,NotRemoved,0.989,0.545
170,MeasuredPleuralPressure,Removed,1.604,0.648
171,AirLeakFlow,NotRemoved,6.803,10.202
171,AirLeakFlow,Removed,121.747,815.456
171,LOWESSFluidOutput,NotRemoved,0.0,0.0
171,LOWESSFluidOutput,Removed,0.0,0.0
171,MeasuredPleuralPressure,NotRemoved,1.161,0.657
171,MeasuredPleuralPressure,Removed,1.626,0.644
172,AirLeakFlow,NotRemoved,2.03,1.899
172,AirLeakFlow,Removed,116.051,815.838
172,LOWESSFluidOutput,NotRemoved,0.0,0.0
172,LOWESSFluidOutput,Removed,0.0,0.0
172,MeasuredPleuralPressure,NotRemoved,1.099,0.657
172,MeasuredPleuralPressure,Removed,1.604,0.611
173,AirLeakFlow,NotRemoved,1.3,1.182
173,AirLeakFlow,Removed,227.426,1142.755
